dialog_id,mode,ref_len,hyp_len,jaccard,bleu_dialog,grice_dialog_mean,grice_dialog_median,grice_dialog_min,grice_dialog_max,grice_turn_count,grice_total_units
MUL0001.json,strict,68,59,0.3529411764705882,22.116362314290672,5.016666666666667,5.0,4.0,6.0,20,32
MUL0002.json,strict,48,38,0.2702702702702703,14.266021959351749,4.892857142857143,5.0,3.0,6.0,14,23
MUL0003.json,strict,74,50,0.4285714285714285,20.27341446975917,5.34375,5.5,4.0,6.0,16,29
MUL0004.json,strict,63,42,0.34,14.89841926817562,4.854166666666667,5.0,3.0,7.0,16,27
MUL0005.json,strict,74,58,0.2857142857142857,20.457800704828067,4.967592592592593,5.0,4.0,6.0,18,35
MUL0006.json,strict,69,51,0.3272727272727272,16.05415332286311,5.296875,5.0,4.0,7.0,16,25
MUL0007.json,strict,51,40,0.3333333333333333,18.365598361431623,5.071428571428571,5.0,2.6666666666666665,7.0,14,24
MUL0008.json,strict,98,69,0.3384615384615385,14.311299830186687,5.422619047619048,5.166666666666666,4.0,7.0,28,44
MUL0009.json,strict,53,46,0.3170731707317073,22.67184609389669,5.083333333333333,5.0,4.0,6.0,18,26
MUL0010.json,strict,80,69,0.2413793103448276,24.57312266866941,5.258333333333334,5.166666666666666,3.5,7.0,20,34
MUL0011.json,strict,99,68,0.28125,11.315129360314645,5.307692307692308,5.0,4.0,7.0,26,37
MUL0012.json,strict,79,60,0.3508771929824561,20.969371939166464,5.305555555555555,5.0,4.5,6.0,18,29
MUL0013.json,strict,55,43,0.4,24.094076299214343,4.678571428571429,5.0,1.0,6.0,14,22
MUL0014.json,strict,69,54,0.3272727272727272,27.77426530993934,5.260416666666667,5.0,4.5,7.0,16,30
MUL0015.json,strict,76,59,0.2153846153846154,11.919262950575911,5.0,5.0,3.5,7.0,18,29
MUL0016.json,strict,75,53,0.2264150943396226,12.759369611842557,5.075,5.0,4.0,6.0,20,32
MUL0017.json,strict,49,45,0.3863636363636363,33.736957192173264,5.261904761904762,5.0,4.0,7.0,14,26
MUL0018.json,strict,59,48,0.3269230769230769,19.80339795351266,5.239583333333333,5.0,4.0,7.0,16,22
MUL0019.json,strict,71,53,0.3695652173913043,19.743180405108667,5.016666666666667,5.0,4.0,6.0,20,30
MUL0020.json,strict,86,62,0.2297297297297297,13.203899398141646,5.227272727272728,5.0,3.5,7.0,22,32
MUL0021.json,strict,35,28,0.2727272727272727,7.511017265257423,4.983333333333333,5.0,4.0,5.666666666666667,10,17
MUL0022.json,strict,85,62,0.3333333333333333,26.049281555374264,5.007575757575758,5.0,1.0,6.0,22,36
MUL0023.json,strict,108,81,0.3278688524590163,22.277362803797747,4.972222222222222,5.0,3.0,6.0,30,45
MUL0024.json,strict,85,59,0.2985074626865671,11.280441365251663,5.159090909090909,5.0,4.0,7.0,22,37
MUL0025.json,strict,76,58,0.3333333333333333,18.053918021246,5.212121212121212,5.0,2.0,7.0,22,35
MUL0026.json,strict,65,55,0.2105263157894736,10.604515372132722,5.231481481481482,5.25,3.5,6.0,18,32
MUL0027.json,strict,39,35,0.4324324324324324,18.531341163985072,5.277777777777778,5.0,4.5,7.0,12,17
MUL0028.json,strict,64,44,0.4347826086956521,18.562147886330127,5.1875,5.0,5.0,6.0,16,25
MUL0029.json,strict,38,31,0.3783783783783784,31.629532902772823,4.9,5.0,4.0,6.0,10,17
MUL0030.json,strict,30,22,0.4444444444444444,34.656141306865365,5.416666666666667,5.333333333333334,5.0,6.0,8,16
MUL0031.json,strict,67,57,0.2653061224489796,14.14878625309977,4.842592592592593,5.0,1.0,6.0,18,29
MUL0032.json,strict,72,60,0.2459016393442623,12.95392660964696,5.018518518518518,5.0,4.0,7.0,18,33
MUL0033.json,strict,86,63,0.2903225806451613,15.3279437555821,5.3939393939393945,5.0,4.0,7.0,22,35
MUL0034.json,strict,73,72,0.3064516129032258,32.3806886503227,5.158333333333333,5.0,1.0,7.0,20,30
MUL0035.json,strict,35,27,0.3333333333333333,18.14148423985697,4.95,4.75,4.0,7.0,10,15
MUL0036.json,strict,80,65,0.2833333333333333,27.87427485752036,5.0875,5.0,4.0,6.0,20,38
MUL0037.json,strict,72,61,0.3103448275862069,18.17362212852278,5.0,5.0,4.0,6.0,18,27
MUL0038.json,strict,66,51,0.2419354838709677,15.8255842469428,5.21875,5.0,4.0,7.0,16,26
