mode,n,rho_jaccard_grice,p_jaccard_grice,rho_bleu_grice,p_bleu_grice
strict,10438,-0.09751388814380953,1.7682573875036494e-23,-0.009757776098892957,0.318850690355788
normalized,10438,-0.07917431549386111,5.463721927875882e-16,-0.022917700075555138,0.019209050632087235
lenient,10438,-0.06518268243332513,2.632630305778505e-11,-0.013395479136698425,0.1711659065756232
